"Parameter","Value"
"Number of factors","3"
"Number of maturities","6"
"Factor 1","EconomicLevel"
"Factor 2","EconomicSlope"
"Factor 3","EconomicCurvature"
"Factors","EconomicLevel, EconomicSlope, EconomicCurvature"
"Yields","DTB3, DGS2, DGS5, DGS7, DGS10, DGS30"
"Sequence length","20"
"Input feature dimension","125"
"Pricing equation","y_t = A + F_t %*% B"
"Parameterization","Linear affine"
"No-arbitrage restriction","Not imposed by free A/B parameterization"
