"Output","Target_1","Target_2","Target_3","Target_4","Target_5","Target_6"
"Affine_Factors","EconomicLevel","EconomicSlope","EconomicCurvature",NA,NA,NA
"Affine_Pricing","DTB3","DGS2","DGS5","DGS7","DGS10","DGS30"
"Volatility","RV",NA,NA,NA,NA,NA
