"","DTB3","DGS2","DGS5","DGS7","DGS10","DGS30"
"EconomicLevel",-0.0280237831175327,0.00352541962638497,0.0230458099395037,-0.0222830977290869,0.0200385730713606,0.0893456563353539
"EconomicSlope",-0.0115088745951653,0.00646438682451844,-0.0632530599832535,0.0612040907144547,0.00553413573652506,0.0248925238847733
"EconomicCurvature",0.0779354125261307,0.0857532471418381,-0.0343426428735256,0.0179906915873289,-0.0277920570224524,-0.0983308553695679
