"Component","StandardDeviation","ProportionVariance","CumulativeVariance"
1,2.41520226269451,0.972200328287443,0.972200328287443
2,0.319727185930251,0.0170375789038129,0.989237907191255
3,0.249734317085545,0.010394538188364,0.999632445379619
4,0.0424156313383884,0.000299847630305679,0.999932293009925
5,0.0176820014236953,5.21088623912602e-05,0.999984401872316
6,0.00967412869984054,1.55981276835131e-05,1
