"DATE","EconomicLevel","EconomicSlope","EconomicCurvature"
2021-05-20,-4.14488511601799,0.0161950907557566,-0.568956307293971
2021-05-21,-4.14080656052994,0.0147647382273554,-0.552092171624666
2021-05-24,-4.1699743962687,-0.00266279401961186,-0.548969892935789
2021-05-25,-4.23747323057609,-0.0415862529851627,-0.51708429064094
2021-05-26,-4.2213905334258,-0.029888112752258,-0.528185509179379
2021-05-27,-4.18414173559248,-0.00761628037081655,-0.541994159643484
2021-05-28,-4.23074693163493,-0.0295685262718099,-0.523390068854377
2021-06-01,-4.17117990224533,-0.00474921813242885,-0.543331244165841
2021-06-02,-4.20878818680514,-0.0201943751637028,-0.539128199580617
2021-06-03,-4.15044131579698,0.00804592402840543,-0.53571713528549
2021-06-04,-4.25164056989987,-0.0465397393363671,-0.510108557348635
2021-06-07,-4.23183335350294,-0.0394411083668999,-0.507951792195713
2021-06-08,-4.28951753989981,-0.0683706413742942,-0.488810066365097
2021-06-09,-4.3279889378802,-0.0995500541621448,-0.456864713209675
2021-06-10,-4.37748427760453,-0.124806679715512,-0.448265352938453
2021-06-11,-4.34797949979481,-0.111031147027101,-0.435283425728018
2021-06-14,-4.2887357711799,-0.0768460331718539,-0.456457648350638
2021-06-15,-4.28425057260559,-0.0745357260834713,-0.465086525544372
2021-06-16,-4.18593868543635,-0.0300363583536745,-0.426386566455934
2021-06-17,-4.24140974106368,-0.0633554787868215,-0.347040570908621
2021-06-18,-4.32149350371751,-0.119042135106292,-0.261671593645991
2021-06-21,-4.2442090834592,-0.0798722787960163,-0.330344249149311
2021-06-22,-4.27979234624743,-0.0914242583272251,-0.335821824026457
2021-06-23,-4.2467072255808,-0.0791484550488442,-0.3340694095536
2021-06-24,-4.25110530486559,-0.0811355627272509,-0.324497066555673
2021-06-25,-4.18294455420542,-0.052442475198652,-0.360715487717504
2021-06-28,-4.25717091680635,-0.0827393410344041,-0.329007164626955
2021-06-29,-4.26090285860566,-0.0843083323918145,-0.324251244012808
2021-06-30,-4.31313673219063,-0.115020488212897,-0.305124029996047
2021-07-01,-4.28037313293163,-0.0950589629198385,-0.310303803266418
2021-07-02,-4.33401327628512,-0.125170544983863,-0.304340572411674
2021-07-06,-4.42417150535246,-0.173637967906744,-0.28194304765198
2021-07-07,-4.48525069147767,-0.207788491830106,-0.241941195307906
2021-07-08,-4.54185089777216,-0.239174014201547,-0.24345328305123
2021-07-09,-4.4341094585043,-0.186494223640575,-0.278515195559666
2021-07-12,-4.41790345611268,-0.171933753631996,-0.280300389726186
2021-07-13,-4.35473277095213,-0.14224771307259,-0.291084068802932
2021-07-14,-4.43859465707861,-0.188804530728958,-0.269886318365932
2021-07-15,-4.5090965004329,-0.223700905828147,-0.22492001158402
2021-07-16,-4.49305919115414,-0.219030312880601,-0.220680743952604
2021-07-19,-4.66738173597425,-0.310650857373066,-0.163147044010046
2021-07-20,-4.62514119913419,-0.28658454418496,-0.224060508636687
2021-07-21,-4.52721985826192,-0.233902847496941,-0.252377998581828
2021-07-22,-4.58084458095208,-0.259980707104844,-0.237242749571
2021-07-23,-4.54573443851387,-0.243811726326398,-0.245170954560513
2021-07-26,-4.54203079041565,-0.242449125960753,-0.247084442926172
2021-07-27,-4.59614750699336,-0.269051056913822,-0.227157779428564
2021-07-28,-4.58490404465879,-0.262832380504336,-0.233236272751212
2021-07-29,-4.55730542275584,-0.251313084777966,-0.239841905032224
2021-07-30,-4.6106560095208,-0.281001031464418,-0.235802648518773
2021-08-02,-4.66930531015524,-0.305837634569742,-0.225275288068036
2021-08-03,-4.68411624230897,-0.314383913033554,-0.219981732412381
