"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64"
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0.841470984807897,0.54030230586814,0.681561350355269,0.731760975798725,0.533168439914023,0.846009110281708,0.409308924041938,0.912395859646256,0.310983592907186,0.950415280255183,0.234921075603842,0.972014448574266,0.17689218624615,0.984230234470095,0.13295726553039,0.991121771298906,0.0998334166468281,0.995004165278026,0.074919157941476,0.997189610742782,0.0562044992146925,0.998419277792664,0.0421571532172568,0.99911099204874,0.0316175064024337,0.999500041665278,0.0237115145833866,0.999718842513315,0.0177818568796661,0.999841890283614,0.0133348190961964,0.999911087347106,0.00999983333416666,0.999950000416665,0.0074988718107716,0.999971883065502,0.00562338361396018,0.999984188653366,0.00421695253606011,0.999991108616126,0.00316227238970824,0.999995000004167,0.00237137148312656,0.999997188294692,0.00177827847280353,0.999998418861587,0.00133352103693441,0.999999110860427,0.000999999833333341,0.999999500000042,0.000749894139049707,0.999999718829351,0.000562341295552359,0.999999841886121,0.000421696490930345,0.999999911086031,0.000316227760746375,0.99999995,0.00023713736834363,0.999999971882934,0.000177827940066656,0.999999984188612,0.000133352142821103,0.999999991108603
0.909297426825682,-0.416146836547142,0.997479997605337,0.0709482514038038,0.902130714963897,0.431462829359294,0.746903535224257,0.664932409399261,0.591127117215293,0.806578409885076,0.456693359523083,0.889624176474268,0.348205275889952,0.937418308890115,0.263553681039078,0.964644731085363,0.198669330795061,0.980066577841242,0.149417211889675,0.98877423954668,0.112231311029263,0.993682108536051,0.0842393503456884,0.996445548865234,0.0632033979331693,0.998000666577784,0.0474096958270817,0.998875528152324,0.0355580907906361,0.999367611131822,0.0266672669241094,0.999644365199343,0.0199986666933331,0.999800006666578,0.0149973219309682,0.999887533843131,0.0112465894013852,0.99993675511346,0.00843383008303267,0.999964434622617,0.00632451315671894,0.999980000066667,0.00474272963105754,0.999988753194578,0.00355655132219825,0.999993675451346,0.00266703970249616,0.999996443443288,0.00199999866666693,0.999998000000667,0.00149978785640297,0.99999887531756,0.00112468241327679,0.999999367544535,0.000843392906871273,0.999999644344139,0.000632455489869974,0.999999800000007,0.000474274723352045,0.999999887531737,0.0003556558745099,0.999999936754447,0.000266704283270833,0.999999964434412
0.141120008059867,-0.989992496600445,0.778272522419513,-0.627926652441803,0.993253167134793,-0.115966141509938,0.953634462145589,0.300967294914735,0.812648896642037,0.582753610702225,0.652904012444876,0.757440658093676,0.508536134419632,0.86104064944086,0.389470316837206,0.921039017796057,0.295520206661339,0.955336489125606,0.223075424783597,0.974801187349306,0.167903309792429,0.985803468527448,0.126171768569587,0.992008409649849,0.0947260913327461,0.995503373987663,0.0710812178889303,0.997470531125319,0.0533230805423059,0.998577312520908,0.0399949726371271,0.99919988098666,0.0299955002024956,0.999550033748988,0.022494928693728,0.999746957076171,0.0168694395413633,0.99985770088026,0.0126505576531636,0.999919978493811,0.00948669067865078,0.999955000337499,0.00711406110867237,0.999974694747093,0.00533481292479314,0.999985769784279,0.00400055362531683,0.999991997753327,0.00299999550000202,0.999995500003375,0.00224968073036358,0.999997469465104,0.00168702317534542,0.99999857697539,0.00126508917283338,0.999999199774372,0.000948683155748025,0.999999550000034,0.000711412051690033,0.999999746946414,0.000533483797706317,0.999999857697509,0.000400056418977816,0.999999919977428
-0.756802495307928,-0.653643620863612,0.141538923280738,-0.989932691245485,0.778471741460492,-0.627679653762545,0.993280734530983,-0.115729781860986,0.95358074048692,0.301137462585474,0.81257090773398,0.582862350735039,0.652828001742749,0.757506171684805,0.508471339544998,0.861078914421504,0.38941834230865,0.921060994002885,0.295479780122797,0.955348993582232,0.223044491574647,0.974808265649306,0.16787985138252,0.985807463706673,0.126154066534568,0.992010660979403,0.0947127699176345,0.995504641483167,0.071071208499693,0.99747124435865,0.0533155662319056,0.998577713749597,0.0399893341866341,0.999200106660978,0.0299912704796145,0.999550160669798,0.0224917562242291,0.999747028453673,0.016867060261366,0.999857741020261,0.0126487733337549,0.999920001066661,0.00948535258100043,0.999955013031293,0.00711305765723275,0.999974701885385,0.00533406043403642,0.999985773798451,0.00399998933334186,0.999992000010667,0.00299957233923581,0.999995501272772,0.0022493634039305,0.999997470178939,0.00168678521382728,0.999998577376809,0.00126491072675776,0.999999200000107,0.000948549340022382,0.999999550126974,0.000711311704032495,0.999999747017798,0.000533408547570677,0.999999857737651
-0.958924274663138,0.283662185463226,-0.571127201192685,-0.820861571799905,0.323935203610092,-0.946079269333225,0.858895997159332,-0.512150042530191,0.999946516789605,-0.010342318905209,0.926757313172194,0.375660594795163,0.776529980028186,0.630080304498899,0.618443712571926,0.785829099983103,0.479425538604203,0.877582561890373,0.366223309062432,0.930526994718242,0.277480530594754,0.960731260624351,0.209289441149982,0.977853736416203,0.157455898182344,0.987526019974963,0.118291063537645,0.992978964675049,0.0887968623598419,0.996049756405295,0.0666266789698156,0.997777974125233,0.0499791692706783,0.998750260394966,0.0374859257403259,0.999297155690634,0.0281133616571868,0.999604741333459,0.0210832629265531,0.999777723308721,0.0158107295012311,0.999875002604145,0.0118565907132961,0.999929708157857,0.00889127989621496,0.999960471789664,0.00666755775730756,0.999977771589725,0.0049999791666927,0.999987500026042,0.00374946226132463,0.99999297074167,0.00281170292120444,0.999996047155529,0.00210848095486365,0.999997777151561,0.00158113817127643,0.99999875000026,0.00118568657501388,0.999999297073426,0.000889139587865022,0.999999604715319,0.000666760666678044,0.999999777715082
-0.279415498198926,0.960170286650366,-0.977396119380646,-0.211416238306461,-0.230367474670296,-0.973103708046594,0.574025568818852,-0.818837374783414,0.947148157502652,-0.320796458427039,0.989072089716497,0.147432701066763,0.875740566889649,0.482781999979075,0.717434716160919,0.696625744605453,0.564642473395035,0.825335614909678,0.434908377895003,0.900474709715235,0.331039330341231,0.943616957121495,0.25032691096285,0.968161369632045,0.188600287052824,0.982053935241641,0.141802840321412,0.989894920926853,0.106494436926543,0.994313298162958,0.0799259437981642,0.996800804327511,0.0599640064794446,0.998200539935204,0.0449784730224,0.998987956366128,0.0337340780699321,0.999430844019121,0.0252990906729722,0.999679926782128,0.018972527561544,0.999820005399935,0.0142277621711136,0.999898780269084,0.0106694740185088,0.999943079542115,0.00800104322379979,0.999967991141382,0.0059999640000648,0.999982000054,0.00449935007493598,0.999989877873223,0.00337404154933986,0.999994307905612,0.0025301763209532,0.99999679909877,0.00189736545768127,0.99999820000054,0.00142282374332932,0.999998987785785,0.00106696744358049,0.999999430790075,0.000800112773928544,0.999999679909723
0.656986598718789,0.753902254343305,-0.859313474927051,0.511449266114241,-0.713721168177414,-0.700429935179435,0.188581107483483,-0.982057618421803,0.800421646322522,-0.5994373929764,0.996027410599761,-0.0890471635367149,0.94733070694136,0.320256977575794,0.803686620773551,0.595052783868449,0.644217687237691,0.764842187284488,0.501148923061353,0.865361055811068,0.383551567645765,0.923519461059959,0.290919295547197,0.956747596536476,0.219556091352419,0.975599878408176,0.165234879244799,0.986254244442556,0.124158335882807,0.992262418733478,0.0932109957711165,0.99564637812195,0.0699428473375327,0.99755100025328,0.0524684909909145,0.998622580083755,0.0393537277202739,0.999225342009758,0.0295144685315376,0.999564353179574,0.0221341358967394,0.999755010004003,0.0165988536203823,0.999862229538895,0.0124476344009722,0.999922525197737,0.0093345144622037,0.999956432470813,0.00699994283347339,0.999975500100042,0.00524923535837696,0.999986222669169,0.00393637911050969,0.999992252429737,0.00295187123710671,0.999995643218609,0.00221359255434958,0.999997550001,0.00165996083163351,0.99999862226407,0.00124479526555548,0.999999225242073,0.000933464866950802,0.999999564321576
0.989358246623382,-0.145500033808614,-0.280228014478579,0.959933466393059,-0.977261746287695,-0.212036504505062,-0.229904325467981,-0.973213235180817,0.574317769121217,-0.818632457255164,0.947233978841465,-0.320542960191248,0.989042480737582,0.147631200281139,0.875667898139709,0.482913793722631,0.717356090899523,0.696706709347165,0.564572621128426,0.825383399077167,0.434851227989026,0.900502309556414,0.330994420997711,0.943632710999566,0.250292357856393,0.968170302993584,0.188574004121465,0.982058982429058,0.141782973560524,0.989897766644786,0.106479472470243,0.994314900794743,0.0799146939691727,0.996801706302619,0.0599555584531802,0.998201047390037,0.0449721328997549,0.9989882418039,0.033729321541164,0.999431004556279,0.0252955228907603,0.999680017066303,0.0189698517274814,0.999820056172828,0.0142257554205697,0.99989880882153,0.0106679691012352,0.999943095598572,0.00799991466693973,0.999968000170666,0.00599911768995611,0.999982005131563,0.00449871542688718,0.999989880728554,0.00337356562833504,0.999994309511285,0.00252981942965863,0.999996800001707,0.00189709782659124,0.999998200508299,0.00142262304816659,0.999998988071319,0.00106681694337345,0.999999430950643
0.412118485241757,-0.911130261884677,0.449193624285084,0.893434434025033,-0.939823512800988,0.341660306132293,-0.608108616826985,-0.793853834242029,0.291259120667224,-0.956644199599912,0.845422816629027,-0.534097613852602,0.999560318493108,-0.0296507958401797,0.932100415774087,0.362199965369649,0.783326909627483,0.621609968270665,0.624822981536822,0.780766445067561,0.484776130346349,0.874638270055924,0.370481033104045,0.92884003149636,0.280778352859511,0.959772637954167,0.211807091012024,0.977311493945008,0.159362776706764,0.987220089645825,0.119729014424617,0.992806609116252,0.089878549198011,0.995952733011994,0.0674392543824262,0.997723381989388,0.0505891159392717,0.998719550899292,0.0379435747500991,0.999279883283549,0.0284566569297631,0.999595027336762,0.0213407431593148,0.999772260408043,0.0160038314543906,0.99987193048849,0.0120014047696397,0.999927980548377,0.00899987850049207,0.999959500273374,0.00674899664798362,0.999977225262778,0.00506105032064598,0.999987192802814,0.00379525941964916,0.999992797977034,0.00284604605198574,0.999995950002734,0.00213423471486732,0.999997722518498,0.00160045078579041,0.999998719277821,0.00120016900082511,0.999999279796925
